1.000000	0.0000000	    0.0000000
0.996008	0.3903185	    0.0000000
0.987503	1.2383961	    0.0000000
0.974448	2.5832204	    0.0000000
0.952417	4.9727301	    0.0000002
0.930884	7.4490791	    0.0000015
0.909839	9.9918590	    0.0000067
0.875987	14.3060733	    0.0000416
0.843394	18.6389812	    0.0001586
0.803899	24.0675285	    0.0005636
0.763004	29.8153671	    0.0015876
0.719648	36.0183090	    0.0038397
0.638943	47.9778503	    0.0135541
0.554336	64.5004607	    0.0370578
0.480933	83.1571019	    0.0773636
0.465274	87.7862661	    0.0896903
0.456346	90.6484778	    0.0974885
0.435856	97.7618477	    0.1178194
0.428721	100.3672284	    0.1257941
0.412318	106.6244807	    0.1461526
0.383135	118.7788770	    0.1907743
0.375709	122.1048241	    0.2042028
0.359499	129.7290724	    0.2370780
0.352278	133.2969894	    0.2535025
0.339422	139.9209551	    0.2858917
0.317347	152.1949638	    0.3528029
0.307038	158.3619097	    0.3900639
0.285784	172.0691336	    0.4825089
0.252554	197.2389104	    0.6872091
0.232385	220.9118601	    0.8670209
0.210343	262.8285780	    1.1426763
0.201766	286.1720279	    1.2826128
0.196904	301.4227743	    1.3727571
0.187450	336.4964938	    1.5756410
0.182838	356.8781710	    1.6905710
0.178878	376.5316100	    1.7992542
0.173949	404.3523857	    1.9494701
0.167952	444.5097160	    2.1587693
0.161378	499.1547604	    2.4294983
0.153373	587.6589527	    2.8365784
0.145766	707.5359719	    3.3322900
0.141240	805.5203412	    3.6952737
0.136042	957.6790937	    4.1979241
0.134394	1018.5091854	4.3811669
0.133103	1071.6729166	4.5341105
0.131321	1154.5811501	4.7603391
0.129189	1271.4490574	5.0567213
0.126780	1433.6448432	5.4310905
0.124416	1634.4785152	5.8463240
0.121640	1943.5147166	6.4063408
0.118737	2383.0259447	7.0914347
0.117678	2577.8573504	7.3688947
0.116628	2787.0428471	7.6579699
0.115686	2982.4584767	7.9276851
0.114693	3183.4468329	8.2196154
0.114487	3222.5448956	8.2807761
0.114388	3240.6623805	8.3099597
0.114256	3264.3051343	8.3490370
0.113973	3312.2411393	8.4327661
0.113609	3367.0189256	8.5401522
0.113245	3411.4867190	8.6461066
0.112755	3450.4410734	8.7860701
0.112094	3452.2656068	8.9674072
0.111395	3370.6387741	9.1451804
0.110700	3184.7934387	9.3031233
0.109884	2820.7833942	9.4604754
0.108971	2249.9495977	9.5987659
0.108339	1819.9103220	9.6740325
0.107756	1541.3990675	9.7320885
0.107117	1348.0112764	9.7870324
0.106281	1395.3576458	9.8519822
0.105423	1447.2383735	9.9174702
0.105190	1461.9279923	9.9357948
0.104946	1477.6422798	9.9554532
0.104654	1496.7895907	9.9795593
0.104173	1529.4176083	10.0211697
0.103445	1581.2776481	10.0889487
0.102862	1625.1848443	10.1478135
0.102104	1685.5072347	10.2303360
0.101058	1775.3748926	10.3549844
0.099627	1912.1495498	10.5430461
0.098117	2075.8522517	10.7567865
0.097501	2148.9732214	10.8462751
0.096669	2253.5681581	10.9665234
0.095737	2379.0504059	11.0973606
0.094815	2511.5503352	11.2178323
